task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3.0,kr-vs-kp,10,Binary,3196.0,36.0,2.0,1.0929927963326784,0.9937402037617554,0.004425592104834149,0.9937258498838395,0.004434856914894737,0.9937402037617554,0.004425592104834149,0.9939064606525447,0.004308905302461662,0.9936429257068937,0.004492674204614854,0.9995645047825693,0.0004993783537448138,0.025882237367403242,0.011156439329358728,0.7424152674153447,0.35662413191506676,0.7081843790598213,0.00969225468299528,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6.0,letter,0,,20000.0,16.0,26.0,1.1076294277929155,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 26 classes, exceeds limit of 10"
11,11.0,balance-scale,10,Multiclass,625.0,4.0,3.0,5.877551020408164,0.9535330261136714,0.02452247063598771,0.9092124769317751,0.040648974664009074,0.9535330261136714,0.02452247063598771,0.8830687830687831,0.04283572671662732,0.9663793103448276,0.017782881866430907,0.9962928781477943,0.003907689629066972,0.10742466519886447,0.03793974611068365,0.5426022090017796,0.08928400385912116,0.13334941333159805,0.017447138711585385,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12.0,mfeat-factors,10,Multiclass,2000.0,216.0,10.0,1.0,0.9824999999999999,0.007546154281781186,0.9825222766108519,0.007521546728737051,0.9824999999999999,0.007546154281781186,0.9833116883116884,0.00724931238406152,0.9824999999999999,0.007546154281781212,0.9997055555555556,0.00029256915049086875,0.08391678193584282,0.01873598964679385,0.7770485250279308,0.04374189569784709,1.8475794209167362,0.007742722868983587,1800.0,0.0,200.0,0.0,42.0,
14,14.0,mfeat-fourier,10,Multiclass,2000.0,76.0,10.0,1.0,0.8319999999999999,0.03216278042154384,0.8292126757605374,0.03201472297845672,0.8319999999999999,0.03216278042154384,0.8331972171720086,0.03167202340200557,0.8320000000000001,0.032162780421543836,0.9829361111111112,0.003996484437612948,0.43282568124370424,0.041513828916808444,0.5714506744407117,0.007306711221481318,0.7385949875228107,0.0004892444650273622,1800.0,0.0,200.0,0.0,42.0,
15,15.0,breast-w,10,Binary,699.0,9.0,2.0,1.900414937759336,0.9699585921325052,0.022785084353245996,0.9672751853046885,0.024839939433636608,0.9699585921325052,0.022785084353245996,0.9629575082727257,0.026851058658013394,0.9730917874396136,0.022515549177194453,0.9958438808373591,0.0046355594198042045,0.07883548966089413,0.039931041438834775,0.4758087767288089,0.0305085822507958,0.1448546671308577,0.00036974613254198613,629.1,0.31622776601683794,69.9,0.31622776601683794,42.0,
16,16.0,mfeat-karhunen,10,Multiclass,2000.0,64.0,10.0,1.0,0.982,0.004830458915396484,0.9819605862686736,0.004889631396210315,0.982,0.004830458915396484,0.9826962861699704,0.004818558128274919,0.9819999999999999,0.004830458915396469,0.9996694444444444,0.0001844661968431407,0.09552491998204074,0.015749176104356707,0.5474581860937178,0.00712358377665525,0.6461116479709744,0.00014511861344493148,1800.0,0.0,200.0,0.0,42.0,
18,18.0,mfeat-morphological,10,Multiclass,2000.0,6.0,10.0,1.0,0.7349999999999999,0.02877112750272014,0.7258816168036555,0.03145554635147873,0.7349999999999999,0.02877112750272014,0.7325600380082835,0.035661845290191015,0.7349999999999999,0.028771127502720102,0.9667819444444443,0.006992767213028807,0.6025295538569057,0.0601773568200536,0.4777679469436407,0.034038055415035316,0.23721309639513494,8.06963850542038e-05,1800.0,0.0,200.0,0.0,42.0,
22,22.0,mfeat-zernike,10,Multiclass,2000.0,47.0,10.0,1.0,0.8200000000000001,0.025166114784235808,0.8157623494358202,0.02631372650326136,0.8200000000000001,0.025166114784235808,0.8141304088927928,0.027378515408861177,0.82,0.02516611478423583,0.9810472222222222,0.0011393818565735997,0.29079586566397364,0.02295213029799872,0.5416038376279175,0.02943544149363916,0.521979039721191,0.000513518462004871,1800.0,0.0,200.0,0.0,42.0,
23,23.0,cmc,10,Multiclass,1473.0,9.0,3.0,1.8888888888888888,0.5607786357786357,0.03879248025065406,0.5458351204193835,0.039831218889596225,0.5607786357786357,0.03879248025065406,0.553810100407943,0.041965808364369805,0.5451525703897621,0.04088714726702235,0.7471492273680477,0.03034380839877298,0.8974134974006134,0.037336435884493785,0.47306234315037726,0.006417982662905156,0.20453364895656706,0.0005659029377827001,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
